ルール,説明,ルル,エクス
受け取った名刺の丁寧な扱い,ビジネスシーンで名刺を受け取った際には、それを丁寧に扱い、相手への尊敬を示します。,Careful handling of business cards received,"When you receive a business card in a business setting, treat it with care and show respect."
食事を共にする際の注文の待ち合わせ,複数人で食事をする際には、全員の料理が揃うまで食事を開始しないことが礼儀とされています。,Waiting for orders when sharing a meal,"When dining with multiple people, it is considered polite not to start eating until everyone has finished their dishes."
お礼状や感謝の手紙を書く,何かを頂いたり、特別なお世話になった際には、お礼状や感謝の手紙を書くことが心遣いとされています。,Write a thank you note or letter of gratitude,"When you receive something or are treated in a special way, it is considered considerate to write a thank you note or a letter of appreciation."
公共の場所でのヘッドフォン使用,公共の場所で音楽を聴く際には、ヘッドフォンを使用して他人に迷惑をかけないようにします。,Using headphones in public places,"When listening to music in public places, use headphones to avoid disturbing others."
エレベーターでの先入れ後出し,エレベーターに乗る際は、中にいる人が先に出るのを待ってから入ります。,"First in, last out in the elevator","When riding an elevator, wait until the person inside leaves first before entering."
公共の場でのゴミの持ち帰り,ピクニックやイベント後は、自分のゴミは自分で持ち帰ることが環境への配慮とされています。,Taking garbage home in public places,It is considered environmentally friendly to take your own trash home with you after a picnic or event.
会議や講演会での携帯電話のマナーモード,会議や講演会では、携帯電話をマナーモードに設定し、周囲への配慮をします。,Silent mode for mobile phones at meetings and lectures,"At meetings and lectures, set your cell phone to silent mode and be considerate of those around you."
図書館や電車内での飲食の控えめ,図書館や電車内では、匂いが強い食べ物や音が出る食べ物の摂取を控えます。,Avoid eating and drinking in libraries and on trains,Avoid eating foods with strong smells or noises in libraries or on trains.
相手が話している間は目を見て聞く,コミュニケーションを取る際は、相手が話している間は目を見て聞くことで、尊重と関心を示します。,Look and listen when the other person is speaking,"When communicating, show respect and interest by looking and listening while the other person is speaking."
道端でのスマホの使用を控える,歩きながらのスマホ使用は危険ですし、人混みの中で立ち止まって使用するのも迷惑になるため控えます。,Refrain from using smartphones on the roadside,"It is dangerous to use a smartphone while walking, and it is also a nuisance to use it while standing in a crowd, so refrain from using it."
ゴミ分別の徹底,家庭や公共の場でのゴミ分別を正確に行い、リサイクルに協力します。,Thorough garbage separation,We will sort garbage accurately at home and in public places and cooperate with recycling.
公共施設の設備や備品の丁寧な使用,公共施設を利用する際は、設備や備品を大切に扱い、次に使う人のことを考えます。,Careful use of public facility equipment and supplies,"When using public facilities, treat the equipment and supplies with care and think about the next person who will use them."
優先座席の適切な利用,公共交通機関内の優先座席は、高齢者、妊婦、障害を持つ人などが使用できるように空けておきます。,Appropriate use of priority seats,"Priority seats on public transport should be reserved for the elderly, pregnant women, people with disabilities, etc."
静かな場所でのモバイルデバイスの振動モード,図書館や病院などの静かな場所では、モバイルデバイスを振動モードに設定します。,Vibration mode for mobile devices in quiet places,Set your mobile device to vibrate mode in quiet places such as libraries or hospitals.
道での正しい歩行マナー,人通りの多い道では、歩行の際に右側を通行するなど、他の歩行者との衝突を避けるマナーを守ります。,Proper walking manners on the road,"When walking on busy roads, be sure to follow good manners to avoid collisions with other pedestrians, such as walking on the right side."
会話中のスマートフォン使用を控える,人と会話しているときは、スマートフォンの使用を控えて、相手に注意を向けます。,Refrain from using your smartphone while talking,"When you're talking to someone, refrain from using your smartphone and focus on the other person."
食事の際の正しい箸の使い方,箸を使う文化のある場所では、箸のマナーを守ることが重要です。例えば、直接食べ物を箸で指さない、箸を立てて食べ物に刺さないなど。,How to use chopsticks correctly when eating,"In places where there is a culture of using chopsticks, it is important to observe chopstick etiquette. For example, don't point directly at the food with your chopsticks, or don't stick your chopsticks upright and stab them into the food."
ギフトの受け取り方,贈り物を受け取る際は、感謝の意を示し、場合によっては両手で受け取ることが礼儀とされています。,How to receive a gift,"When receiving a gift, it is considered polite to show gratitude and, in some cases, to accept it with both hands."
公共場所でのペットのマナー,ペットを公共の場所に連れて行く際は、他の人に迷惑をかけないよう、ペットの振る舞いに注意します。,Pet etiquette in public places,"When taking your pet to public places, be careful about how your pet behaves so as not to disturb others."
レジャースポットでの環境保護,海辺や山などの自然を楽しむ際には、環境を保護し、自然を大切に扱うことが重要です。,Environmental protection at leisure spots,"When enjoying nature such as beaches and mountains, it is important to protect the environment and treat nature with care."
挨拶時の笑顔,挨拶時に笑顔を見せることで、親しみやすい印象を与え、ポジティブなコミュニケーションを促します。,smile when greeting,Smiling when greeting others gives a friendly impression and encourages positive communication.
待ち合わせ時の正確な時間通りの到着,他人の時間を尊重し、約束の時間に遅れないよう努めます。,Arrive exactly on time for the appointment,Respect other people's time and try not to be late for appointments.
食事中の携帯電話を触らない,食事中は携帯電話の使用を控え、同席者との会話や食事を楽しむことを優先します。,Don't touch your cell phone while eating,"Refrain from using your cell phone while eating, and prioritize conversing with your seatmates and enjoying your meal."
公共の場での適切な服装,場所やシチュエーションに応じた適切な服装を心掛け、周囲への配慮を示します。,Appropriate attire in public places,"Wear clothes that are appropriate for the location and situation, and show consideration for your surroundings."
授業や会議中のメモ取り,話を聞きながらメモを取ることで、相手の話に真剣に耳を傾けていることを示します。,Taking notes during classes and meetings,Taking notes while listening shows that you are really listening to what the other person is saying.
お年寄りや体の不自由な方への席の譲り方,公共の場では、必要としている人へ積極的に席を譲ります。,How to give up your seat to the elderly or physically challenged,"In public places, be willing to offer your seat to someone in need."
ゴミは指定された場所に捨てる,ゴミは環境保護の観点からも、指定された場所に正しく捨てます。,Throw away garbage in the designated area,"To protect the environment, please dispose of your trash correctly in the designated areas."
公共交通機関での小さな声での会話,他の乗客への配慮として、公共交通機関内では小さな声で会話をします。,Conversations in low voices on public transportation,"As a courtesy to other passengers, speak in a low voice on public transportation."
図書館内での静かな行動,図書館は静かな学習・閲覧空間であるため、周囲に気を配り静かに行動します。,Quiet behavior in the library,"The library is a quiet learning and reading space, so please be aware of your surroundings and behave quietly."
エスカレーターでの歩行禁止,安全性を考慮し、エスカレーターでは静止して利用することが推奨されます。,No walking on escalators,"For safety reasons, it is recommended that you remain stationary when using the escalator."
ランニングやジョギング時のエチケット,他人の通行の邪魔にならないよう、適切な場所や時間帯でランニングやジョギングをします。,Etiquette when running or jogging,Run or jog at appropriate places and times so as not to interfere with other people's traffic.
自転車の歩道利用時の歩行者優先,歩道を自転車で利用する際は、常に歩行者を優先し、安全に配慮します。,Pedestrians have priority when using bicycle sidewalks,"When using bicycles on sidewalks, always give priority to pedestrians and be considerate of safety."
会議や授業の開始前の準備,会議や授業が始まる前には、必要な資料やノートを準備し、準備万端で臨むことが期待されます。,Preparation before the start of a meeting or class,"Before a meeting or class begins, you are expected to prepare the necessary materials and notes and be fully prepared."
質問や意見を適切なタイミングで,会議や授業中に質問や意見を述べる際は、適切なタイミングを見極め、発言の際は手を挙げるなど礼儀正しく行います。,Ask questions and comments at the right time,"When asking questions or expressing opinions during meetings or classes, be courteous by determining the appropriate timing and raising your hand when speaking."
プロジェクトや課題の期限を守る,与えられたプロジェクトや課題の期限は厳守し、遅延が予想される場合は早めに連絡を取ります。,Meet deadlines for projects and assignments,We will adhere to deadlines for assigned projects and assignments and will contact you early if delays are anticipated.
周りへの配慮を忘れずに,職場や学校での作業時には、周囲の人への配慮を忘れず、騒音を出さない、匂いが強いものを控えるなどの配慮が必要です。,Don't forget to be considerate of your surroundings,"When working at work or school, it is important to be considerate of the people around you, and take precautions such as not making noise and refraining from eating things with strong odors."
共用スペースの清潔保持,オフィスや学校の共用スペースでは、使用後は整理整頓を心掛け、次に使う人のために清潔に保ちます。,Keeping common spaces clean,"In common spaces at offices and schools, be sure to tidy up after use and keep them clean for the next person to use."
プライバシーの尊重,同僚やクラスメートのプライバシーに配慮し、無断で物を借りたり、机の引き出しを開けたりしない。,respect for privacy,"Be considerate of the privacy of your colleagues and classmates, and do not borrow things or open desk drawers without permission."
公共の機器の適切な使用,プリンターやコピー機などの公共の機器を使用する際は、待ち行列を作る、使用後は元の状態に戻すなどのマナーを守ります。,Appropriate use of public equipment,"When using public equipment such as printers and copiers, please follow good manners such as forming a queue and returning the equipment to its original position after use."
メールや文書の丁寧な対応,業務や学業に関連するメールや文書は、丁寧かつ正確に対応し、誤解のないように心掛けます。,Careful handling of emails and documents,We will respond politely and accurately to emails and documents related to work or studies to avoid misunderstandings.
遅刻や欠席の事前連絡,やむを得ず遅刻や欠席をする場合は、可能な限り早く事前に連絡を入れることが求められます。,Advance notice of tardiness or absence,"If you must be late or absent, please contact us as soon as possible."
チームワークと協力の促進,職場や学校では、チームワークを大切にし、協力して目標達成に努める姿勢が重要です。,Promote teamwork and cooperation,"At work or school, it is important to value teamwork and work together to achieve goals."
オンラインミーティングのエチケット,オンラインミーティングでは、カメラをオンにして参加し、背景や照明を適切に設定し、周囲に配慮します。,Online meeting etiquette,"For online meetings, participate with your camera on, set your background and lighting appropriately, and be aware of your surroundings."
メールのプロフェッショナルな署名,業務用メールでは、プロフェッショナルな署名を使用し、連絡先情報を明確にします。,professional email signature,"For business emails, use a professional signature and make your contact information clear."
授業や会議での積極的な参加,授業や会議では、積極的に参加し、質問やフィードバックを通じて、議論や学習に貢献します。,Active participation in classes and meetings,Actively participate in classes and meetings and contribute to discussions and learning through questions and feedback.
オフィスでの個人的な電話の控えめな使用,オフィスでは、個人的な電話の使用を控えめにし、プライバシーを尊重しつつ、周囲に迷惑をかけないようにします。,Discreet use of personal phones in the office,"In the office, use your personal phone sparingly to respect your privacy and avoid disturbing others."
ミーティング中の注意深いメモ取り,会議中には、議論のポイントやアクションアイテムを記録するために、注意深くメモを取ります。,Careful note-taking during meetings,"During the meeting, take careful notes to record discussion points and action items."
学校や職場での健康への配慮,風邪の症状がある場合は、他人に感染させないよう、マスクの着用や手洗いを徹底します。,Consideration for health at school and work,"If you have cold symptoms, please wear a mask and wash your hands thoroughly to avoid infecting others."
コピー機や共有スペースの後片付け,使用後はコピー機の紙詰まりを解消したり、共有スペースを清潔に保つために片付けをします。,Cleaning up copy machines and common spaces,"After use, clear paper jams in the copy machine and clean up common areas to keep them clean."
デスクトップの整理整頓,個人のデスクは常に整理整頓されていることが期待され、プロフェッショナリズムを示します。,Tidy up your desktop,"Personal desks are expected to be tidy and tidy at all times, demonstrating professionalism."
休憩時間の適切な利用,休憩時間は、リフレッシュするためだけでなく、同僚とのコミュニケーションを取る機会としても利用します。,Appropriate use of break time,"Use your breaks not only to refresh yourself, but also as an opportunity to communicate with your colleagues."
フィードバックの正しい受け方,フィードバックを受ける際は、防御的にならずに、改善の機会として受け入れます。,How to receive feedback correctly,"When receiving feedback, don't get defensive; instead, accept it as an opportunity to improve."
デジタルデバイスの充電を常に確認,業務や学業でデジタルデバイスを使用する際は、充電状態を常に確認し、必要に応じて充電します。,Always check your digital devices are charged,"When using digital devices for work or school, always check their charging status and charge them when necessary."
会議室の予約と使用後の整理,会議室を使用する際は予約をし、使用後は机や椅子を元の位置に戻し、清掃します。,Reservation of conference room and organization after use,"When using a conference room, please make a reservation, and after use, return desks and chairs to their original positions and clean them."
オフィス機器の適切な共有,プリンターやスキャナーなどのオフィス機器を使用した後は、次の人が使いやすいように設定を元に戻します。,Proper sharing of office equipment,"After using office equipment such as printers and scanners, restore the settings to make them easier for the next person to use."
公共交通機関でのイヤホン使用,電車やバス内で音楽を聴く場合は、他の乗客に迷惑をかけないようイヤホンを使用します。,Using earphones on public transportation,"When listening to music on a train or bus, use earphones to avoid disturbing other passengers."
会議や講義の遅刻を避ける,可能な限り会議や講義に遅刻しないように努め、遅刻が避けられない場合は事前に連絡を入れます。,Avoid being late for meetings or lectures,"We will try to avoid being late for meetings or lectures as much as possible, and if being late is unavoidable, we will contact you in advance."
資料の事前準備と共有,会議やプレゼンテーションでは、必要な資料を事前に準備し、参加者と共有します。,Preparation and sharing of materials,"For meetings and presentations, prepare the necessary materials in advance and share them with participants."
職場や学校での正しいゴミの分別,リサイクル可能な材料と不燃物を適切に分別し、指定された場所に捨てます。,Correct garbage separation at work or school,Properly separate recyclable materials and non-flammable materials and dispose of them in designated areas.
他人の作業を尊重し、無用な邪魔を避ける,他人が集中して作業している時は、不必要な邪魔をしないように配慮します。,Respect the work of others and avoid unnecessary interruptions,"When others are concentrating on their work, be careful not to disturb them unnecessarily."
オンラインでの礼儀正しい対応,オンラインでのコミュニケーションでも、礼儀正しい挨拶や言葉遣いを心掛けます。,Courteous behavior online,"Even when communicating online, be sure to use polite greetings and language."
自分の意見を尊重しつつ他人の意見に耳を傾ける,ディスカッションでは自分の意見を述べるとともに、他人の意見にも耳を傾け、尊重します。,Listen to the opinions of others while respecting your own,"In discussions, we express our own opinions, but also listen and respect the opinions of others."
上司への敬語の使用,職場では上司に対して敬語を使用し、尊敬と礼儀を示します。,Use of honorific language for superiors,"At work, use honorific language to show respect and courtesy to your superiors."
目上の人への先に挨拶,目上の人と会った際は、積極的に先に挨拶をすることで、尊敬の意を表します。,Greet your superiors first,"When you meet a superior, be proactive and greet them first to show your respect."
年長者に席を譲る,公共の場所では年長者に対して席を譲ることが、敬意を示す行動とされています。,give up your seat to an older person,Giving up your seat to your elders in public places is considered a sign of respect.
報告・連絡・相談の徹底,職場での上下関係では、報告・連絡・相談を欠かさず行い、円滑なコミュニケーションを心掛けます。,"Thorough reporting, communication, and consultation","Regarding hierarchical relationships in the workplace, we make sure to report, communicate, and consult, and strive to maintain smooth communication."
目上の人の意見に耳を傾ける,会議やディスカッションでは、目上の人の意見に対して真摯に耳を傾け、尊重します。,listen to the opinions of superiors,"In meetings and discussions, we listen sincerely to and respect the opinions of our superiors."
上司の指示の確認と遵守,上司からの指示には確認を怠らず、指示された通りに行動を遵守します。,Confirm and comply with supervisor's instructions,Always check the instructions given by your superiors and comply with the instructions.
年長者や上司への感謝の表現,支援やアドバイスを受けた際には、年長者や上司に対して感謝の気持ちを適切に表現します。,Expressing gratitude to elders and superiors,Appropriately express your gratitude to your elders and superiors when receiving support or advice.
名刺交換時のマナー,名刺交換時には、両手で名刺を渡し受け取り、目上の人の名刺は特に丁寧に扱います。,Manners when exchanging business cards,"When exchanging business cards, pass and receive business cards with both hands, and handle business cards of superiors with special care."
目上の人への適切な席次,食事会や会議では、目上の人が尊重される席に着くように配慮します。,Appropriate seating arrangements for superiors,"At dinner parties and meetings, make sure that your superiors have a respectful seat."
先輩後輩関係の礼儀,学校や職場では、先輩に対する敬語の使用や、助けを求める際の丁寧な対応を心掛けます。,Etiquette between seniors and juniors,"At school or at work, be sure to use honorific language toward your seniors and be polite when asking for help."
仕事中の個人的なメールチェック,業務時間中に個人的なメールをチェックすることは、適度に行う限り許容される場合があります。,Checking personal email at work,Checking personal email during work hours may be acceptable as long as it's done in moderation.
ヘッドフォンでの音楽聴取,オフィスでのヘッドフォンを使用した音楽聴取は、集中を助ける一方で、過度にならないよう配慮が必要です。,listening to music with headphones,"While listening to music using headphones in the office can help you concentrate, you should be careful not to overdo it."
ランチタイムにおける仕事の話題,昼食時に仕事の話をすることは、関係を深める機会になる一方で、休息時間を重視する必要があります。,Work topics during lunchtime,"While talking about work during lunch can be an opportunity to deepen your relationship, you should value your downtime."
デスクでの軽食,デスクでの軽食は、忙しい時には便利ですが、匂いや音に気をつける必要があります。,Snacks at the desk,"Snacking at your desk is convenient when you're busy, but you need to be careful about smells and sounds."
カジュアルフライデーの服装,週末にカジュアルな服装をする文化は受け入れられていますが、ビジネスカジュアルの範囲内であることが望ましいです。,casual friday outfits,"The culture of casual attire on weekends is accepted, but preferably within business casual."
オフィス内での小声での私語,同僚との私語は関係構築に役立つことがありますが、仕事の進行に影響を与えないよう注意が必要です。,Private conversation in the office,"Private conversations with co-workers can be helpful in building relationships, but you need to be careful not to let it affect the progress of your work."
仕事のメールへの即時回答,仕事のメールに即座に返信することは期待されますが、深夜や早朝のメールは翌営業日に回答することもあります。,Instant answers to work emails,"You are expected to respond to work emails promptly, but emails sent late at night or early in the morning may be answered the next business day."
ミーティング中のノートパソコン使用,ノートパソコンを使用してメモを取ることは一般的ですが、画面に集中しすぎて他の参加者との目線が合わないことを避ける必要があります。,Using a laptop during a meeting,"It is common to use a laptop to take notes, but you should avoid focusing too much on the screen and losing eye contact with other participants."
社外での業務関連の会話,社外で業務について話すことはネットワーキングの一環として有益ですが、機密情報の取り扱いには注意が必要です。,Work-related conversations outside the company,"Talking about work outside the company can be a useful networking opportunity, but be careful when handling sensitive information."
遅刻の謝罪,遅刻した際には謝罪が必要ですが、度重なる遅刻は信頼を損なう可能性があります。,Apology for being late,"Apologies are necessary when you are late, but repeated tardiness can damage trust."
スマートフォンの授業中の使用,授業中にスマートフォンを使用することは、学習アプリなど教育目的であれば許容される場合がありますが、注意が必要です。,Using smartphones during class,"Using a smartphone during class may be acceptable for educational purposes such as learning apps, but caution is advised."
観光地での写真撮影,観光地での写真撮影は記念になりますが、他人の迷惑にならないように配慮する必要があります。,Photography at tourist spots,"Taking photos at tourist spots is a great souvenir, but you need to be careful not to disturb others."
自宅での仕事,テレワークが認められる場合、自宅での仕事は便利ですが、プライベートとの境界を明確にすることが大切です。,work from home,"If telework is permitted, working from home is convenient, but it is important to make clear boundaries between work and private life."
公共施設での食事,公共施設内での軽食は許可されている場所では問題ありませんが、清潔を保つための注意が必要です。,Meals at public facilities,"Snacking in public facilities is fine where permitted, but care must be taken to maintain cleanliness."
旅行中の現地文化の模倣,旅行中に現地の文化や服装を模倣することは理解を深める一方で、尊重の気持ちを忘れずに行うべきです。,Imitation of local culture while traveling,"While traveling, imitating local culture and clothing should be done with a sense of understanding and respect."
会話中のスマートフォン使用,他人と会話しているときにスマートフォンをチェックすることは、緊急の場合を除き、避けるべきですが、一部の状況では許容されることも。,Smartphone use during conversation,"Checking your phone while talking to someone else should be avoided unless it's an emergency, but it may be acceptable in some situations."
食事会でのアルコール摂取,ビジネスや友人との食事会での適度なアルコール摂取は社交の一環とされますが、節度を守ることが大切です。,Alcohol consumption at dinner parties,"Drinking alcohol in moderation during business or dinner parties with friends is considered part of socializing, but it is important to maintain moderation."
公共の場でのペット同伴,ペット同伴が許可されている公共の場所では問題ありませんが、他人への配慮とペットの管理に気をつける必要があります。,Allowing pets in public places,"This is fine in public places where pets are allowed, but please be considerate of others and take care of your pet."
運転中の音楽の大音量,車内で音楽を楽しむことは一般的ですが、大音量での再生は他の運転手や近隣に迷惑をかける可能性があるため注意が必要です。,Loud music while driving,"It is common to enjoy music in the car, but be careful not to play it at high volume as it may disturb other drivers and neighbors."
フィットネスジムでの機器の長時間使用,フィットネスジムでの運動器具の使用は健康のために良いですが、混雑時には他の利用者への配慮を忘れずに使用時間を限定することが望ましいです。,Extended use of equipment in the fitness gym,"Using exercise equipment at a fitness gym is good for your health, but when it's crowded, it's best to be considerate of other users and limit the amount of time you use it."
授業や会議での飲食,軽い飲み物や無音の食べ物なら許容される場合がありますが、周りへの配慮が必要です。,Eating and drinking during classes and meetings,"Light drinks and silent food may be acceptable, but please be considerate of your surroundings."
公共場所での足を組む,リラックスした姿勢は個人の自由ですが、正式な場や他人の目の前では避けた方が良い場合があります。,cross your legs in public places,"Although a relaxed posture is a personal choice, it may be best to avoid it in formal settings or in front of others."
オフィスでの個人的な装飾,個人のデスク周りを装飾することは自由度を与えますが、過度にならない範囲で行うべきです。,personal decoration in the office,"Decorating your desk area gives you a lot of freedom, but it should be done without going overboard."
電車内での化粧,時間節約のために行うことは理解されますが、周りの人に不快感を与えないよう配慮が必要です。,makeup on the train,"It is understandable that you are doing this to save time, but care must be taken to avoid causing discomfort to those around you."
旅行先での現地言語使用,基本的な挨拶や言葉を使うことは好印象ですが、不正確な使用は誤解を招くことも。,Use the local language at your destination,"Using basic greetings and words gives a good impression, but using them incorrectly can lead to misunderstandings."
屋外での大声での会話,友人との会話は楽しいものですが、公共の場では他人への配慮を忘れずに適切な音量を心掛けましょう。,Loud conversations outdoors,"Conversation with friends is fun, but be considerate of others and keep the volume at an appropriate level when in public places."
レストランでの席の変更要望,特定の席への要望は一般的ですが、店側の都合も考慮し、柔軟な対応を期待しましょう。,Request to change seats at a restaurant,"Requests for specific seats are common, but please consider the restaurant's convenience and expect a flexible response."
会議での質問の多用,積極的な参加は推奨されますが、他の参加者の機会を奪わないよう、バランスを考える必要があります。,Frequent use of questions in meetings,"Active participation is encouraged, but a balance must be struck so as not to deprive other participants of the opportunity."
SNSでの過度なシェア,楽しい経験や思い出を共有することは素晴らしいですが、プライバシーや他人への影響を考慮しましょう。,Excessive sharing on social media,"It's great to share fun experiences and memories, but consider privacy and the impact on others."
ジョギング時の音楽再生,音楽を聴きながらのジョギングはモチベーション向上に役立ちますが、周囲の安全も考慮し、音量に注意しましょう。,Playing music while jogging,"Jogging while listening to music can help boost your motivation, but be sure to consider the safety of those around you and be careful about the volume."
通勤ラッシュ時の電車内での本の読書,混雑している電車内での読書は、スペースが許す限りで行うことが一般的ですが、他人への配慮が求められます。,Reading a book on the train during rush hour,"Reading on a crowded train is generally done as space allows, but you are expected to be considerate of others."
映画館での小さなお菓子の食べ物,映画館での食事は一般的にポップコーンや飲み物に限られていますが、静かに食べられる小さなお菓子は許容されることがあります。,small candy food at the movie theater,"Movie theater meals are generally limited to popcorn and drinks, although small snacks that can be eaten quietly may be acceptable."
公園でのドローン飛行,公園でのドローンの使用は、他の公園利用者の安全やプライバシーを害しないよう注意深く行う必要があります。,Drone flight in the park,Drone use in parks must be done carefully to avoid compromising the safety and privacy of other park users.
